"","BIC","delta","weights","dist25k","dist_continents","area_km2","w_mean_growing_season","max_elevation","w_mean_temperature_seasonality","w_mean_Seasonality_Precipitation","model_id","Nparam"
"1",8153.26770593127,0,0.936269964229336,"X"," ","X"," ","X","X"," ",1,4
"2",8160.29578076628,7.02807483500419,0.0278787971383056,"X"," ","X","X","X","X"," ",2,5
"3",8160.45478165425,7.1870757229708,0.0257482328283147,"X","X","X"," ","X","X"," ",3,5
"4",8162.60868848437,9.34098255309618,0.00877066457439618,"X"," ","X"," ","X","X","X",4,5
"5",8168.22403095632,14.9563250250412,0.000529268902321386,"X","X","X","X","X","X"," ",5,6
"6",8168.58721583234,15.3195099010691,0.00044137911911282,"X"," ","X","X","X","X","X",6,6
"7",8169.25967636448,15.991970433206,0.000315347094846144,"X","X","X"," ","X","X","X",7,6
"8",8174.06409139012,20.7963854588443,2.85445609343859e-05," ","X","X"," ","X","X"," ",8,4
"9",8175.47098444562,22.2032785143438,1.4126039680513e-05,"X","X","X","X","X","X","X",9,7
"10",8178.35204511122,25.0843391799444,3.3450764463102e-06," ","X","X","X","X","X"," ",10,5
"11",8183.22421669404,29.9565107627614,2.92703173206959e-07," ","X","X"," ","X","X","X",11,5
"12",8187.32146796833,34.0537620370578,3.77329379107464e-08," ","X","X","X","X","X","X",12,6
"13",8211.92958728908,58.6618813578052,1.71054855120604e-13," "," ","X"," ","X","X"," ",13,3
"14",8216.97526487294,63.7075589416645,1.37239914679787e-14," "," ","X","X","X","X"," ",14,4
"15",8218.7729211295,65.50521519823,5.58630113543458e-15," "," ","X","X","X","X","X",15,5
"16",8219.15077083628,65.8830649050042,4.62461221313268e-15," "," ","X"," ","X","X","X",16,4
"17",8242.79706276505,89.5293568337756,3.39115992021441e-20,"X"," ","X"," "," ","X"," ",17,3
"18",8245.71515650753,92.4474505762564,7.88301341609199e-21,"X","X","X"," "," ","X"," ",18,4
"19",8251.83009506309,98.5623891318146,3.70552911342679e-22,"X"," ","X","X"," ","X"," ",19,4
"20",8251.98888117103,98.721175239757,3.4227112673196e-22,"X"," ","X"," "," ","X","X",20,4
"21",8253.19480963151,99.9271037002354,1.87286393434086e-22,"X","X","X"," "," ","X","X",21,5
"22",8255.08739832389,101.819692392611,7.2700234839093e-23,"X","X","X","X"," ","X"," ",22,5
"23",8260.5675124184,107.299806487127,4.69401159464524e-24,"X"," ","X","X"," ","X","X",23,5
"24",8261.95460022017,108.686894288891,2.34607487709629e-24,"X","X","X","X"," ","X","X",24,6
"25",8264.38490541414,111.117199482863,6.95997695063951e-25,"X"," "," "," ","X","X"," ",25,3
"26",8271.10587853191,117.838172600633,2.41639001419382e-26,"X","X"," "," ","X","X"," ",26,4
"27",8271.52768470781,118.25997877654,1.95691960885935e-26,"X"," "," ","X","X","X"," ",27,4
"28",8272.8330623316,119.565356400321,1.01885841232365e-26,"X"," "," "," ","X","X","X",28,4
"29",8275.65692041183,122.389214480555,2.48268056588132e-27," ","X","X"," "," ","X"," ",29,3
"30",8277.31757453182,124.049868600549,1.08221708111362e-27,"X"," "," ","X","X","X","X",30,5
"31",8277.88925992528,124.621553994005,8.13157137598442e-28,"X","X"," "," ","X","X","X",31,5
"32",8279.02227875847,125.754572827197,4.6146903508633e-28,"X","X"," ","X","X","X"," ",32,5
"33",8282.65797669448,129.390270763209,7.4930872420477e-29,"X","X"," ","X","X","X","X",33,6
"34",8283.0036815625,129.735975631226,6.30364766598516e-29," ","X","X","X"," ","X"," ",34,4
"35",8284.97291954565,131.70521361438,2.35492638714803e-29," ","X","X"," "," ","X","X",35,4
"36",8285.50719282474,132.239486893469,1.80285736148335e-29," ","X"," "," ","X","X"," ",36,3
"37",8290.214944645,136.947238713724,1.71271873624343e-30," ","X"," ","X","X","X"," ",37,4
"38",8292.19134311759,138.923637186316,6.37553410612957e-31," ","X","X","X"," ","X","X",38,5
"39",8294.76533013801,141.49762420674,1.76028259002767e-31," ","X"," "," ","X","X","X",39,4
"40",8297.21095497175,143.943249040475,5.18228995481325e-32," ","X"," ","X","X","X","X",40,5
"41",8321.3098784241,168.042172492821,3.03044894011559e-37," "," "," "," ","X","X"," ",41,2
"42",8323.87381828512,170.606112353843,8.40919656463071e-38," "," "," ","X","X","X","X",42,4
"43",8325.7381099894,172.470404058123,3.31076765998092e-38," "," "," "," ","X","X","X",43,3
"44",8327.05223720155,173.784531270278,1.71620675064312e-38," "," "," ","X","X","X"," ",44,3
"45",8330.33661903665,177.06891310538,3.32181278439249e-39," "," ","X"," "," ","X"," ",45,2
"46",8335.85388445844,182.586178527167,2.10531065414017e-40," "," ","X"," "," ","X","X",46,3
"47",8338.18940879047,184.9217028592,6.54882708347733e-41," "," ","X","X"," ","X"," ",47,3
"48",8339.35720710958,186.08950117831,3.65240846288517e-41," "," ","X","X"," ","X","X",48,4
"49",8431.22727564367,277.959569712398,4.10437876661209e-61,"X"," ","X"," ","X"," "," ",49,3
"50",8431.65774794709,278.390042015811,3.30956990858434e-61," ","X","X"," ","X"," "," ",50,3
"51",8438.70757870742,285.439872776141,9.74810639047547e-63,"X","X","X"," ","X"," "," ",51,4
"52",8439.76531503741,286.497609106135,5.74428176758789e-63,"X"," ","X","X","X"," "," ",52,4
"53",8440.43422690827,287.166520976992,4.11133975301768e-63,"X"," ","X"," ","X"," ","X",53,4
"54",8440.89260631431,287.624900383037,3.26924557191249e-63," ","X","X"," ","X"," ","X",54,4
"55",8440.94633360502,287.678627673741,3.18259086019612e-63," ","X","X","X","X"," "," ",55,4
"56",8447.66397278366,294.396266852388,1.10678686869897e-64,"X","X","X","X","X"," "," ",56,5
"57",8448.09143049176,294.82372456048,8.93804909739863e-65,"X","X","X"," ","X"," ","X",57,5
"58",8449.14962356399,295.881917632715,5.26573537125838e-65,"X"," ","X","X","X"," ","X",58,5
"59",8449.99246706442,296.72476113315,3.45491915411695e-65," ","X","X","X","X"," ","X",59,5
"60",8456.9456152365,303.677909305231,1.06802384196161e-66,"X","X","X","X","X"," ","X",60,6
"61",8466.29560953222,313.027903600941,9.95991159297956e-69," "," ","X"," ","X"," "," ",61,2
"62",8473.75952521872,320.491819287444,2.38499122501053e-70," "," ","X"," ","X"," ","X",62,3
"63",8475.41631372567,322.148607794398,1.04164499719957e-70," "," ","X","X","X"," "," ",63,3
"64",8483.13177428003,329.864068348755,2.19952427957581e-72," "," ","X","X","X"," ","X",64,4
"65",8528.47542498451,375.207719053232,3.13386378112255e-82,"X"," ","X"," "," "," "," ",65,2
"66",8534.21449024076,380.946784309485,1.77769777618403e-83,"X"," ","X","X"," "," "," ",66,3
"67",8537.42858949985,384.160883568574,3.56389699061129e-84,"X"," "," "," ","X"," "," ",67,2
"68",8537.48185137099,384.214145439714,3.47023970517518e-84,"X"," ","X"," "," "," ","X",68,3
"69",8537.85712301593,384.58941708465,2.87653903749028e-84,"X","X","X"," "," "," "," ",69,3
"70",8539.24366469792,385.975958766649,1.43809167270073e-84," ","X"," "," ","X"," "," ",70,2
"71",8540.40591667454,387.13821074327,8.04279059653167e-85," ","X","X"," "," "," "," ",71,2
"72",8543.42038793822,390.152682006942,1.78165103162202e-85,"X","X","X","X"," "," "," ",72,4
"73",8543.53698315079,390.26927721951,1.68075462476311e-85,"X"," ","X","X"," "," ","X",73,4
"74",8545.51913939581,392.251433464539,6.23856285682691e-86,"X"," "," "," ","X"," ","X",74,3
"75",8545.53519534803,392.267489416751,6.18868031909122e-86,"X","X"," "," ","X"," "," ",75,3
"76",8546.11450854431,392.846802613037,4.63235450020167e-86,"X"," "," ","X","X"," "," ",76,3
"77",8546.79832016055,393.53061422928,3.29089466374615e-86,"X","X","X"," "," "," ","X",77,4
"78",8548.33282779135,395.065121860075,1.5279174229038e-86," ","X","X","X"," "," "," ",78,3
"79",8548.47262802466,395.204922093385,1.42476306543606e-86," ","X"," "," ","X"," ","X",79,3
"80",8548.5600435496,395.292337618331,1.36383115834379e-86," ","X"," ","X","X"," "," ",80,3
"81",8549.75949557026,396.491789638982,7.48691515011192e-87," ","X","X"," "," "," ","X",81,3
"82",8552.7843529079,399.516646976627,1.6499222760846e-87,"X","X","X","X"," "," ","X",82,5
"83",8554.24394618346,400.976240252184,7.95274090057484e-88,"X","X"," "," ","X"," ","X",83,4
"84",8554.52501606665,401.25731013538,6.91008331601543e-88,"X","X"," ","X","X"," "," ",84,4
"85",8554.77185171197,401.504145780699,6.10778307824062e-88,"X"," "," ","X","X"," ","X",85,4
"86",8557.11597998123,403.848274049956,1.89174510252482e-88," ","X","X","X"," "," ","X",86,4
"87",8557.84784246966,404.58013653838,1.31202073369365e-88," ","X"," ","X","X"," ","X",87,4
"88",8563.52963263832,410.261926707041,7.65871025208758e-90,"X","X"," ","X","X"," ","X",88,5
"89",8572.97759778136,419.70989185009,6.80073850280457e-92," "," "," "," ","X"," "," ",89,1
"90",8577.83380611192,424.566100180643,5.9985161922727e-93," "," "," "," ","X"," ","X",90,2
"91",8582.06347018888,428.795764257603,7.23742291358872e-94," "," "," ","X","X"," "," ",91,2
"92",8587.00956799639,433.741862065116,6.10312772214571e-95," "," "," ","X","X"," ","X",92,3
"93",8592.88774251599,439.620036584717,3.22940921296115e-96," "," ","X"," "," "," "," ",93,1
"94",8598.70081537133,445.43310944005,1.76534807333153e-97," "," ","X"," "," "," ","X",94,2
"95",8600.16137893592,446.893673004647,8.50497418291171e-98," "," ","X","X"," "," "," ",95,2
"96",8607.60355834981,454.33585241854,2.05884794501898e-99," "," ","X","X"," "," ","X",96,3
"97",8908.7298339775,755.46212804623,8.41171098793869e-165,"X"," "," "," "," ","X"," ",97,2
"98",8912.40884978303,759.141143851754,1.33658385567623e-165,"X","X"," "," "," ","X"," ",98,3
"99",8917.50559303129,764.237887100019,1.04532774333768e-166,"X"," "," "," "," ","X","X",99,3
"100",8917.90410627658,764.636400345303,8.56478420591248e-167,"X"," "," ","X"," ","X"," ",100,3
"101",8918.7282306359,765.460524704625,5.67231178533401e-167,"X","X"," "," "," ","X","X",101,4
"102",8920.82643931136,767.558733380082,1.98673466504669e-167,"X","X"," ","X"," ","X"," ",102,4
"103",8926.8761815959,773.608475664624,9.64839386765056e-169,"X"," "," ","X"," ","X","X",103,4
"104",8928.03595533681,774.768249405534,5.40273114042084e-169,"X","X"," ","X"," ","X","X",104,5
"105",8939.69588972748,786.428183796209,1.58741607319544e-171," ","X"," "," "," ","X"," ",105,2
"106",8948.86896308341,795.60125715214,1.61727250449683e-173," ","X"," ","X"," ","X"," ",106,3
"107",8949.07918055002,795.811474618745,1.45591178079991e-173," ","X"," "," "," ","X","X",107,3
"108",8958.21584517503,804.948139243751,1.51054457471102e-175," ","X"," ","X"," ","X","X",108,4
"109",9002.36812047685,849.100414545576,3.90470997490101e-185," "," "," "," "," ","X"," ",109,1
"110",9006.64033220328,853.372626272004,4.61200524714535e-186," "," "," "," "," ","X","X",110,2
"111",9011.62163897057,858.353933039295,3.82131440865731e-187," "," "," ","X"," ","X"," ",111,2
"112",9013.60277159786,860.335065666583,1.41910747579288e-187," "," "," ","X"," ","X","X",112,3
"113",9222.60893049131,1069.34122456004,5.84661561700005e-233,"X"," "," "," "," "," "," ",113,1
"114",9223.58552191515,1070.31781598388,3.58790065220061e-233,"X"," "," ","X"," "," "," ",114,2
"115",9231.22887487574,1077.96116894447,7.85429849255736e-235,"X"," "," "," "," "," ","X",115,2
"116",9231.95633219043,1078.68862625916,5.45936402073977e-235,"X","X"," "," "," "," "," ",116,2
"117",9232.30603984987,1079.0383339186,4.58357138908775e-235,"X","X"," ","X"," "," "," ",117,3
"118",9232.79750236844,1079.52979643717,3.58495963383105e-235,"X"," "," ","X"," "," ","X",118,3
"119",9235.37941954209,1082.11171361082,9.85889132310146e-236," ","X"," "," "," "," "," ",119,1
"120",9240.28125082179,1087.01354489051,8.49980458781563e-237," ","X"," ","X"," "," "," ",120,2
"121",9240.34323454778,1087.07552861651,8.24041997586087e-237,"X","X"," "," "," "," ","X",121,3
"122",9241.65224333584,1088.38453740457,4.28254267669259e-237,"X","X"," ","X"," "," ","X",122,4
"123",9244.76382588152,1091.49611995025,9.03712178136756e-238," ","X"," "," "," "," ","X",123,2
"124",9248.65205426041,1095.38434832913,1.29333809575905e-238," ","X"," ","X"," "," ","X",124,3
"125",9298.84800152559,1145.58029559432,1.62854819104902e-249," "," "," "," "," "," "," ",125,0
"126",9302.96705958855,1149.69935365727,2.07662711687512e-250," "," "," ","X"," "," "," ",126,1
"127",9303.62000470735,1150.35229877608,1.49821206381155e-250," "," "," "," "," "," ","X",127,1
"128",9310.70225893904,1157.43455300777,4.34191506432151e-252," "," "," ","X"," "," ","X",128,2
